,Unnamed: 0,qid,Label,Questions
22,,0334eb0a2f3c933aa65a,3.0,"How many movies and TV shows will promote their gun wielding, mass murdering “hero""on Kimmel's show while he cries about gun violence?"
23,,0335ecdafd42f8b734a2,3.0,Why do boys cheat and marry someone else?
24,,0338d71aacb5ca7a828c,1.0,"Why are Democratic Socialist Americans, who support politicians such as Bernie Sanders or Elizabeth Warren referred to by many as communists? Is that McCarthyism?"
25,,0339884f215d81b8d4f8,3.0,Why are sluts better than feminists?
26,,033a4fc08a7270ff702a,1.0,"Who is superior, a beautiful girl or a smart boy? Both are 18 years of age."
27,,033a6fc43f205d3896b1,1.0,Do you think that Mr. Trumps remarks during the funerals of the teenagers killed at Marjory Stoneman Douglas High School in Parkland were reflective of the thoughts of all Americans?
28,,033b1f6012ac1f9a27f2,1.0,Since Brahmin and Bania are resenting reservations should BC/SC/ST give them a separate country? They are just 6% in India.
29,,033bd25145dd300e6b91,1.0,Is Singapore becoming a shitslam theocracy?
30,,033be928d1847cf47d5b,1.0,"Are woman from Utah, from another planet?"
31,,033beccbbcedc9affe75,4.0,"Can gun violence be eradicated if we remove the words ""gun"" and ""firearm"" from all dictionaries?"
32,,033c96f9518d7a6ac9a8,1.0,Why are whites so much more prone to suicide than Asians? Could circumcision in whites lead to more suicide?
33,,033ccc2dc522e5bd72f5,2.0,Do pansexuals go to hell?
34,,033ce1863177770c28dc,4.0,How would Die Hard (1988) have ended if John McClane had been castrated after his divorce?
35,,033dc9456ddf582b98d2,3.0,Why is affirmative action available to Hispanics but not to Asians/Indians?
36,,033f5a301cf30a0c0418,1.0,Why should I have to take off my shirt at the beach?
37,,0340df0726c1d3409b20,0.0,Culture of the United States of America: 
38,,03411734cfa8b39459b0,0.0,What’s your favorite kind of sausage?
39,,034150d65b739a01606d,4.0,How do you prepare your dog/cat for cooking?
40,,0341ccb318ad1b16a151,3.0,How can one report Indian Hindus posting targeted harassment questions against Indian and other Muslims on Quora?
41,,03433ffe1d1e1e908ed6,1.0,Should an atheist teach his or her children about religious figures?
42,,03443a726baf24b72cce,3.0,"What does “southern pride” mean? Are southerners proud because they owned slaves, or because they were traitors who fought against this country?"
43,,034600736488a44db254,3.0,Why doesn't Pakistan invade Afghanistan to end all Afghan and Indian terrorist activities?
44,,03464ac561b8b675990a,3.0,"Why do disabled persons not understand ""united we stand"" and ""divided we fall”?"
45,,034706938517d383695c,1.0,Why are blacks not usually seen as being a standard of beauty?
46,,0347ad268f1c4f78dfc1,1.0,Why men don't listen and women can't read maps?
47,,0348901b73f2742cb3f7,3.0,Why is Sikhism such an obviously false religion with pakhandi gurus on the charas?
48,,034943e211ff56faf5fa,1.0,"Why do most women carry two, often large, bags on the bus/subway? It seems unnecessarily cumbersome and inconveniences other travelers."
49,,034bc06b7e294f2d39fa,4.0,What will be the reason of Apocalypse on earth? Will they be Muslims or any other religious group?
50,,034d12808d4270bac1a7,5.0,What are the alternatives available to KCN in Indian pharmacy stores?
51,,034dadb82db0211e2ca7,0.0,How do I sign up for a Quora account?
52,,034e15ebf087b855b682,1.0,"Who buttered Roseanne's bread better, the left or the right?"
53,,034e95e538380e7ee941,1.0,Why do people in India don't even get their basic needs?
54,,034efd33b8dad81f896c,3.0,What was the real reason behind large number of innocent Tamil people killed in Sri Lanka? Is that true Tamil Muslims are not interested in eelam?
55,,034f038fc41fb66e1da3,1.0,Why are many black women so fat?
56,,034f545e032f18c66be4,4.0,"Why don't we ban poor people from having more children? Punishable by vasectomy, and children being taken by an organization to be raised at the parent's expense (accrual expenses). No one wants to starve to death, this is child abuse."
57,,034f6f1af18781f8e760,2.0,"I really want to try incest with my mother, how should I start?"
58,,03527e98f85cb6e201d7,3.0,"As a Sikh or Muslim, if I convert to Hinduism what extra socio-economic benefits will I get in India from Indian Government and Saffron terrorists?"
59,,0353289cd0b6ba9d143a,2.0,Can I have sex with my married cousin?
60,,035385d6da797d7e4bf4,3.0,"Is The Donald Trump a man or a woman? Is he just a sissy or a homosexual? Is He a Jew? Did he win due to the lack of credibility, mental and emotional intelligence intelligence, creativity, maturity, personality and vision by Americans?"
61,,0355392a25199a04f412,1.0,"How right wing are the Northern counties of California, such as Siskiyou?"
62,,035580c850d0997663ac,3.0,"Why are Baby Boomers always so rude, domineering, and bitter? Like, everywhere in the world they’re like this."
63,,035705fcde298deafd16,3.0,Why is so much of the world so S-T-U-P-I-D? Use the morons of North Korea as a modern day example. Why do they follow little fat dumb ass?
64,,035890aeec7f6253d572,3.0,"What is humanity? Why can't we just kill people to solve our problems? If a country faces a refugee crisis, why can't it just kill the refugees who have illegally made it to that country?"
65,,035b0167cc8b0267906a,1.0,"Why are Jews or Rabbis known for always answering a question with a question? What is the psychological, sociological, or religious origin of this element of Jewish culture (if the stereotype is true)?"
66,,035c2eddd7064f22b14b,3.0,"Do Chinese & other Asian women consider Arab women to be sexually immature, like children?"
67,,035dd6fb2f8cba9afaa6,3.0,"Americans advise every country about their problems, but why can't they simply accept they have a gun control problem?"
68,,035eb538f17d1f5368f5,1.0,Why do atheists use a book with the Devil printed on the cover as a proof that God does not exist? Aren't they as smart as they often portray themselves to be?
69,,035ec38c432066e2caa8,3.0,Why do Jews always bring up holocaust when other people have suffered worse throughout history?
70,,0360c3e034a5ce0a2e50,1.0,"Why are Chinese leaders ashamed of wearing their traditional dress, unlike Arabs and Indians?"
71,,03644fd9cd6cea1df404,3.0,Why does Islamabad in Pakistan have higher HDI than any of our Indian cities? What is so special about it besides terrorism?
72,,0364b37de06631399fde,3.0,How much damage does a bunch of priests singing carols cause to the Hindus?
73,,036591bc8fa518ef027a,1.0,Most men want a 'beautiful woman'. Is that true?
74,,0365e36687254bd29aa9,3.0,Why do people of other religions think their ridiculous beliefs are correct even when they know Christianity is clearly the one and only true religion?
75,,036755a897c7b5c92bb7,1.0,"If all Bosniaks are “Serbs that converted to Islam” (Muslim Serbs), why did Serbs want to kill their ""own people""?"
76,,03675ccde65d1ac6cb9e,1.0,Why are frauds and illiterates like Tejashwi Yadav's are being imposed on the country?
77,,036795a4827bd9616fa3,3.0,India claimed Chinese soldiers who kicked down Indain soldiers at Ladakh. Why does India have a low IQ?
78,,03679e3b7234f973a004,3.0,Why should we preserve the language of terrorists at Urdu?
79,,0367c167326f7dabd41a,1.0,Are homosexuals tired of seeing mainly straight couples on TV?
80,,0367ff852eab32b56cd6,1.0,Why are Bengali girls so aggressive?
81,,0368bd77c446ca3a2fe3,1.0,Why the is Quora invaded by Indian people.?
82,,0368c4abf6654e775afd,2.0,"Is the vagina of Indian girls as beautiful, pink in colour as the girls in porn?"
83,,036a68c8c3cb9c620c32,1.0,How do I know which kind of American Bully I have?
84,,036ad2ce1f5660732604,1.0,"Why are Indian Hindus on internet intentionally confusing Pakistani clan name ""Butt"" with Indian Hindu surname ""Bhatt"" when Pakistanis belonging to Butt clan feel offended by this misrepresentation of their clan name on internet?"
85,,036b78d5e3f8719b3c07,2.0,Whose fault is it if you rape someone but you were abused as a child?
86,,036b97e2f0ea8853f708,3.0,Did the blacks who whined about slavery and then stayed to take America's money realize that two wrongs don't make a right?
87,,036c42de10d541d0a463,3.0,Why do so many Indian Indonesians prefer to eat food with their hands instead of using proper utensils? Do most native Indonesians find this disgusting when they see this happening in their native homeland?
88,,036c67a43778009f1bce,3.0,"What real reason do people have to hate Trump, Clinton would’ve been 100 times worse?"
89,,036cc788ac6abc7c8e05,1.0,Why most of guys lie to get sex from girls?
90,,036d55fc347b1fecdbdf,3.0,Should every American keep a close watch on every Muslim they know?
91,,036dfb895193ee1fbba2,3.0,Do you agree that the Japanese have evil mind by nature?
92,,036ff962f29bf33ed6f7,3.0,Are Japanese people evil towards Chinese people?
93,,0370ff43d12ee384df51,3.0,Why are most Pakistani women often unattractive and in bad shape? Is this the main reason their men rank so high while their women rank so low?
94,,037158b5d61429c0489b,1.0,Is climate change an imagined problem promoted by censorship and the media without scientific evidence?
95,,0372093031ed0412d6ee,0.0,Why do people keep asking me stupid questions that can either be answered by Google or need a conversation to work out?
96,,03725e7363c04e30007b,1.0,Are Singaporeans secretly proud and satisfied of their country's systems and progress even though their grumbling may not reflect it?
97,,0372b63029f764c5f10f,3.0,"Do liberals feel guilty and shame for causing the degeneration of our culture where mass shootings occur in schools, churches, movie theaters, concerts etc? The violence and pornography in our entertainment media; the coarseness in our dialogue."
98,,0372c89c7911262e0f34,3.0,How do people from Islamic countries see the fact that it's only Islamic and no other religious groups that commit such mass terrorist acts?
99,,03733fa5041aaaefa60d,3.0,"Is winnie the pooh is banned in China just because it looks like xi jin ping? If so it shows how paranoid and insecure xi is as a leader, maybe he got contaminated by Kim jong un!"
100,,0376b7552501bf024c70,3.0,Why do Canadians dislike most Americans and the US? What is the purpose of this?
101,,0376da9552e0d74640b1,3.0,Do any other conservatives think Jason Chaffetz is a complete and utter moron?
102,,03771144fdf3905f4244,3.0,Did medieval Jewish bankers start Protestant Christianity as a scam?
103,,03781d4d9e3887593744,1.0,"Would it be better for the LGBT community to not be offended when somebody uses the word ""gay"" to describe something that is mildly irritating for themselves?"
104,,037944b43696e73d79b2,2.0,Do women who wear pantyhose enjoy the thought of a man starting at their toes and working his way up?
105,,0379751e1655f2a70fe9,4.0,Why did Hindus beg Muslims to build Ram temple in Ayodhya?
106,,037a2d709c39e0830ce9,1.0,Why does your father smell of elderberries?
107,,037a3a7855271d90055d,3.0,"Do white women like it when dark-skinned men won't date women of his own kind and only likes to date women with ""milky white skin""?"
108,,037a72fb833946b6443e,2.0,Is mom son incest fantasy normal?
109,,037c0c342db36852927f,3.0,Why are narcissists so sensitive?
110,,037cc2c3be55ce944cc5,3.0,Why can’t Europeans become more conservative and politically incorrect like Americans?
111,,037cfe7138da4d7bfed4,3.0,Why don't Modi kill all Kashmiri and settle biharis there?
112,,037d11b20641ac6afa81,1.0,"Why doesn't the UK realise that the government wanted Brexit and played us via the media, etc. to get the result they wanted?"
113,,037e9a958755d42caae2,3.0,Why do some African-Americans become Muslim? Do they not realize that slavery is alive and well in Saudi Arabia?
114,,037ffff486efc2c17bbb,3.0,How disturbing is it that many Democrats are not very bothered by the fact that their own party rigged the primaries in violation of the fundamental principals of democracy regarding fair and transparent elections?
115,,03804d5ca2ad80dc51b5,1.0,What will cause reactionaries of the American Left to stop their repression? Will more generations of Americans lose their careers or face campus violence for thinking or saying the wrong thing? Will the Left's hatred and intolerance ever end?
116,,0380b0b1056782e19e01,3.0,Why does the media use sex to make white men feel inferior to black men?
117,,0380eefe042addfd088e,3.0,What do white people tend to be better at than other ethnicities? (other than “white-privilege”)
118,,038217d6a0ed97f5ed86,3.0,When will the United Kingdom and Canada apologize to France and Quebec for invading Quebec and discriminating French speakers?
119,,038269e32f1fec194dc0,1.0,"In the 21st century, are males more stupid than females? The boys in my class are so dumb, I doubt any of them will make college."
120,,03831dfa37a24e51d952,3.0,"Why were white supremacist yelling ""fuck you faggot"" at Charlottesville, Virginia?"
121,,03839fed1416396195d7,1.0,Are American women capable of being good daughters-in-law?
122,,03853da4319f78fb17a9,1.0,Why are Chinese poeple crazy about famous universities like Peking University?
123,,038577e84ca60288b24b,2.0,"You are on your way to your girlfriends house with someone else only to find a letter from her kidnapper""Dear pesky plumbers, I dare you to rape her"" how do you react:""We gotta rape the bitch"" or do nothing?"
124,,0385a1936ac7a1edac58,1.0,"How is this to bring unity, doesn't it promote more division with fear, and mistrust? Doesn't someone have to step up to stop it? Have we forgotten the ""for whites only"" signs? Do we have to go back there out of unjustified fear?"
125,,0386af86940d257c9f69,2.0,"Are 36-24-36 bust/waist/hips measurements natural, healthy, and normal for a 18 year old female?"
126,,0386e421769706ee06f3,1.0,Why do idiots ignore my questions even when I request to all them?
127,,0389ae4a1822e3b04124,1.0,Why does Bengalis have lot of ego?
128,,038c6c4a7da2cffa0f67,1.0,Why is America so developed if Americans are dumb?
129,,038df4cdb4cd00972605,1.0,"Can I get someone trustworthy living in Canada? If yes, how?"
130,,038e9b4f55465b074ec5,1.0,In the UK historic scientists are celebrated in the way that Australia celebrates swimming stars. What can be done to fix Australia’s anti-intellectual culture?
131,,038f6277ec89d568c5fe,1.0,How many white people does it take to screw in a light bulb?
132,,039263fb6935f50453aa,1.0,Why do so many people in America have such terrible British accents?
133,,0395e6db2b6b71a973dd,1.0,"Why do liberal Democrats blindly follow a person, who has been embroiled in multiple scandals over the last year?"
134,,0396302639b1bbf20c8b,1.0,Why are all the wives on “Housewives Of New Jersey” African American (or do they all tan 10 hours per day)?
135,,039728683467e289d5bc,1.0,Why does Southern American have a lot of inbreds?
136,,0397c9e954001e7cbcd4,1.0,Do you think people who know about and can afford birth control but don’t use it should be given abortions?
137,,0398852d05bed4f035d6,1.0,Why are gujaratis radical about their language and often behave rudely to outsiders?
138,,039bab4064ee690dbb43,3.0,Is Pakistan and Porkistan one and the same country?
139,,039c2a65680c8f06cce7,2.0,How do you cut off your dick?
140,,039c3237e06594bbc43f,3.0,"Why are people wary of Nazi ideology, but tolerant of a religious belief like Islam which denigrates women and condones killing homosexuals?"
141,,039c6768dc145ce6f60b,2.0,Can a 9 year old shove there cock in a vagina?
142,,039eb4e98f4d0bea12a0,1.0,"Why is ther a tendency to think it's fine to assault a short or avarage height man, while insulting a tall guy is looked upon as insulting a women (when there is a little difference after all in gender)?"
143,,039efcdb168f039340fc,1.0,"Why are Punjabi, Goan (Konkani) and Mangalorean (Tulu) girls mostly beautiful and attractive?"
144,,039f8c2be14d8e20eec2,2.0,Why most women like big dick according to their discussion?
145,,039fb52b504b3999ed08,1.0,"Why do they call Republican states red states, when Democrats are a lot closer to communism than Republicans?"
146,,03a165b1dee39bf12395,1.0,How many Tibetan monks burn themselves each year in order to protest against CCP's tyrannical rule?
147,,03a361f9a4b9c6f5269e,3.0,Why do Asians eat dogs?
148,,03a3bfd6a1bc2d1ae134,2.0,Is there any problem if son have sex with mom?
149,,03a3c94986d90d6efa80,2.0,Is it wrong that I really want to fuck my hot niece who is 1 year younger than me (13)?
150,,03a4836b809813aeac14,2.0,Could you really have sex with a chicken? What's the best farm animal to fuck? My good friend said cows but my money's on the horses
151,,03a6594b4cf6b2e1b576,3.0,Why can’t we conclude Republicans are immoral when 89% of them fully or implicitly endorse and applaud Trump’s full range of immoral acts?
152,,03a6cfd6dc054d08a3eb,1.0,Can eJEWcation kill education?
153,,03a7b3cd63f964f416fd,3.0,Is it normal that when I see devoted Christians like Mike Pence I feel ashamed of myself as a Christian?
154,,03a7f17ec1658e0249f0,1.0,Why are some Scandinavian people indecent and rude to me because I am Jewish?
155,,03a9634024af19259198,1.0,Why is the entire leftist population on the globe ignorant to the dangers of Islamification?
156,,03a9ee628f4cf4d4bd7a,0.0,Should I date an Indian guy?
157,,03aa21ef933b80219555,1.0,"What should a ""black"" American do to not get killed by the police, since being rude/aggressive isn't the case anymore, as proved by Castile's death?"
158,,03aa454a35cba205a860,4.0,"If Quora were an airline, would it cancel the flight if a bird shit on the runway?"
159,,03ab2db627ae230b18ce,1.0,Why wasn't Ronald Reagan taken to the International Court of Justice for the ills he created in Iraq?
160,,03abb068187c7bc28cd0,1.0,"Why is Hitler always remembered for killing 6 million Jews, but Stalin, with Jewish links, was never remembered for killing 70 million people?"
161,,03ad4ba2a6180e5c1769,1.0,Why is Vietnam the champion of claiming territories?
162,,03ad57df06be531e1700,1.0,Why aren't blacks considered domestic terrorists for all their crimes?
163,,03adc8102d9fecf61eca,1.0,Are black people the most intelligent race?
164,,03ae2263b85e02f53407,4.0,"Is it true that if FDR's gay affair with Hitler had not gone sour, the US would never have even entered WWII?"
165,,03ae80eb248117aa90fa,3.0,Is India safe for Hindus anymore? People are getting killed for chanting patriotic songs and loving Muslim girls. How come the minority (Muslims) are persecuting the majority without any backlash?
166,,03aff7dbab33c85711aa,3.0,Why does RSS encourages revenge in the mind of Hindus towards the minority community?
167,,03b02975f3c15a415627,1.0,Why Indian women are so particular about their husbands looks?
168,,03b11e1b1f1b2d3f2769,1.0,Are women more sensitive to pain than men?
169,,03b12973c050fa54d7a3,2.0,You really had sex with your mom?
170,,03b14ec051477956c78f,1.0,"Why are senegalese people so mean, superficial and self absorbed?"
171,,03b17770d968bd523984,3.0,Why not deter Djihaddists who want to die killing all who do not share their opinion by sentencing them to an arctic island dressed in only a burka?
172,,03b1be513e471cb1f0ac,5.0,"Who are these vocabulary police on Quora? I was a certified teacher, with a background in English and math. I also have a psychology background/master’s level. I know I’m not the only one who gets these inaccurate corrections. Why?"
173,,03b352b4af6ed6fb3c9c,2.0,Why do I find my dog so sexy?
174,,03b42e0d3632c5132093,1.0,Why does Brahman hate the lower caste?
175,,03b4538bedda6731652b,1.0,"Will someone explain why atheists are so aggressive towards theists, to the point of spamming all religion questions on Quora?"
176,,03b456e37e67ba9d504f,1.0,Why do black women cause a majority of public freakouts?
177,,03b5bdd1431fbe58da3a,1.0,Why do westerners like to mock Asians being smaller in size when it's obvious that westerners have higher standards of living since the past?
178,,03b711e1f33bb96f2e2b,1.0,Why women think that wearing skin tight dresses and exposing their body is a sign of freedom?
179,,03b77c3f4fb6da69fa94,1.0,Do Malayali women have a higher sex drive than other Indian women?
180,,03b9012f94edd2409368,4.0,"Would you as a rabbi, accept someone who transitioned from male to female? Would you use the right pronouns and name? How would you see the said person, as a male or as a female?"
181,,03b95f1f5ec8c5f43331,1.0,Doe's girls are weaker than boys in case of thinking and living style?
182,,03b9611e726dd9c9ae4b,3.0,"Do you think the cow is your mother? If so, is it healthy to obsess over the properties of cow dung and urine?"
183,,03bc53a4c30b53929f8a,4.0,"People are saying that the sun is red, and the cities are going dark. Is it Nibiru?"
184,,03bfc505504b75abf70a,1.0,Is Barrack Obama more supportive of Islam than Christianity?
185,,03bfc53ab4feaef16bfe,3.0,"If an ordinary person cannot get a celebrity like Cristiano Ronaldo to respond on Facebook, how do unbelievers expect the gods of different religions to respond to their mockery and insults to prove their existence?"
186,,03c08caa0ffeeecf1785,1.0,Do girls enjoy rejecting nice guys?
187,,03c1ccb1522005fdc7ea,4.0,Is the coronation of Ambani Ji as Emperor of India happening in 2019?
188,,03c2733a507569fd6bf1,1.0,Why do you think Trump hasn’t condemned or criticized Russia for any of their actions over the past year?
189,,03c2cfccfab6c0138ea5,1.0,"Why do Keralites hate Narendra Modi, despite the fact, that he has dedicated his life to the nation?"
190,,03c2e75514c5f9fc5768,0.0,"My son got all A's and A-'s with one B-minus and I grounded him the whole summer, was I being irrational?"
191,,03c40eb51a56c12387a3,3.0,How can the supposedly Christian president of supposedly Christian america possibly tolerate the deplorable treatment of the Palestinian people by Israel?
192,,03c4340b27bbae075221,4.0,What can I do to be gay without being gay?
193,,03c4b47e666e0eb3a798,1.0,"What is Jesus Christ waiting for before he returns? Why the hold up? If you're Jewish, when will the Moshiach arrive? If you're Muslim, is the Mahdi close? If you're atheist, why do you even care and/or why are you commenting?"
194,,03c5354a1dca2746265b,1.0,"Why would Democrats rather hassle Congress with ""investigating"" Trump when they could be fixing healthcare?"
195,,03c5993d2c4898c57e49,1.0,Is it OK to be white?
196,,03c6d78adb000b6c1096,3.0,"Does Donald Trump really think he could have “saved the day” at Parkland High School? With his bone spurs and aversion to walking, would that have been possible?"
197,,03c74b4c581029a2fc75,1.0,Why do people who push for gun control usually know the least about guns?
198,,03c7f0f214381f42fa98,3.0,Why if only 1.6 percent of the population at the peak of slavery when they speak about racist they seem to want to Encompass the whole population?
199,,03c810ba37e84760c23a,3.0,"Is it true that in real life, Taliban and jihadists get killed easily like in the movies?"
200,,03c81f74e6b5c9eec6f2,3.0,Why is the South Korean obsess with the British flag design?
201,,03c821814cba041b0410,1.0,Why did Americans elect a cheeto with hair?
202,,03c86ec1e4cd10751a48,3.0,"Why do black people who mate always give birth to black people, but intelligent people who mate do not always give birth to intelligent people?"
203,,03c93106441934b29259,3.0,"Do all women really praise and worship the almighty God the same way as a man? Do they really mean what they are praying for? I don't think so, because my wife is wicked, and tortured me all my life."
204,,03c9a1f3e41da43fe711,1.0,What if the Bible was actually true?
205,,03c9a60e88bcc990f124,0.0,Why do most of the people of Tamil Nadu have dark coloured skin?
206,,03ca64f24914750fc7e9,3.0,Are French people dirty?
207,,03caf1dc07895d205aff,1.0,Do women who earn more and more intelligent look down on their husbands? Do you develop dominant mentality towards your partner?
208,,03cceed10cc8ab4941f0,3.0,Trump's approval rating is rising in the US. What's wrong with the people or the rest of the people & the world who do not approve of him?
209,,03cd04fe02de32bfeb0d,3.0,Do you ever call your skinny gay friends fat?
210,,03cd0fadc3e32510f9dd,1.0,Why do the lowest kind of people want to suck the life out of you?
211,,03cd82ccbdb8a130e528,1.0,Do the Chinese often try to blame Vietnam for everything wrong with China?
212,,03ce2fae01b546e4350c,3.0,Why don't south Indians want to grow? And when you question them on development they take it as an linguistic offence?
213,,03ce8b3465b1f3a3e4ad,4.0,What is the fullest half glass?
214,,03cef8b9e678283307c3,2.0,Do men support rape? Do they secretly want to be sexually abused by a women?
215,,03cf8a93bea0062c234b,1.0,Why does Justin Trudeau wear false eyebrows?
216,,03cfad635fcc94b3a1c1,3.0,How did Xi Jinping took years and all kind of dirty methods to kill all his enemies and make himself as a dictator in China?
217,,03d07209e9f78b64fe91,1.0,Do Jehovah's witnesses marry younger women?
218,,03d0dfe344fdf8ce4528,2.0,Are trans people really men or women?
219,,03d1353c22b9a738ac3c,1.0,Are most liberals now denying the science behind chromosomes by rejecting gender?
220,,03d26072ddf748b67ada,1.0,"In male-male interactions, there are clearly defined boundaries, the breach of which causes violence. In male-female interactions, there is no such recourse since you can't hit a woman. How can we ensure women remain civil in discussions with men?"
221,,03d308e5f11d2ac5001d,1.0,Why is Bihar Police so uncooperative and corrupt?
222,,03d33986db4826c83e5a,3.0,Is it a violation of BNBR to call transgender a mental illness?
223,,03d38176958529462dd7,3.0,If Latinos love blond women why do not they clone white women?
224,,03d3c9d692c368d7f6bc,3.0,Is Justin Trudeau starting to look like a grovelling suckhole on the world stage?
225,,03d3fa268d0fc4ccb648,1.0,"As an Indian, will you be automatically supporting Saudi Arabia in the upcoming World Cup as a gratitude towards Arabian people for providing jobs to crores of Indians and for the billions of dollars in remittances India received from Saudi Arabia?"
226,,03d400560d37802cf78b,1.0,"What do you think of the Zionist cyber industry (a part of the Zionist military), whereby they violate the privacy rights of the Palestinians?"
227,,03d4600d7d99dc23b5b7,1.0,Do women care about how the men in their lives feel? Do they care if they hurt their feelings?
228,,03d6350efb1c9f4422d0,1.0,Are the African people the best because they can be happy and poor?
229,,03d69dd2c14231b8f211,2.0,How many gallons of cum have ever been ejaculated in the history of mankind?
230,,03d738a1c90945919bc3,3.0,How many Hungarians think Romanian history is fake?
231,,03d7d8368a4e5f6e418c,3.0,"As the majority of the culture is against the LGBTQ community, can anyone provide proof that this community has committed a crime at any higher rate than society in general?"
232,,03d820167746059d8221,5.0,"Mountains can be moved but Chinese army cannot. Is it immuture General of Chinese, fond of Hindi movie dialogue?"
233,,03d87f2252ba2e52691a,5.0,Who actually writes most of these crap & stupid questions on Quora?
234,,03daabe71c1df066b693,0.0,"Are there any current-day movies that depict the Nazis as good, and the Jews as evil?"
235,,03dac204da3d838d6bc5,5.0,I'm 12 and my bf is 31 and we both want to take it to the next level. Is this a bad idea?
236,,03dc1c20f91c00ca3e80,3.0,"Considering their appalling record of terrible activities (Nixon, etc.), arrests, prison time, giving in to the NRA and absolute inactivity as a Congressional majority under both Democratic and Republican POTUS, how can anyone be a Republican today?"
237,,03ddfbace4155f29fe04,1.0,Do Americans always have sex?
238,,03de10c427d5456abf1f,2.0,Is it still generally acceptable to make jokes about “white girls”?
239,,03de621be35a30d31dff,2.0,How do I start with incest sex? I have a sister and a mother. And I know it's weird but I want to have sex with either of them. How do I approach and convince them?
240,,03de82efdef2e0b4fcb6,2.0,Should we allow homosexuals around children?
241,,03df215fdfeb3889ed3e,1.0,How did China government encourage Chinese to kidnap young Vietnamese girls from Vietnam through local agencies in order to solve their one-child policy problems for decades?
242,,03df26aba57555cfaf83,1.0,Why do Democrats want to separate undocumented-immigrant-children from their families?
243,,03dfb01a0373de76d76a,1.0,"Why do armchair commandos whose only experience of war is a CoD game think that they know so much about which country has the ""best special forces""? What are some ways we can get these delinquent children and drunkards to be quiet?"
244,,03e188bfdf4cf0852298,3.0,Can a Muslim marry a goat to fulfill sexual needs due to the shortage of 25 million women in Pakistan due to female infanticide?
245,,03e1938644bf303cce6b,1.0,"Will a Trumpian ""Saturday Night Massacre"" occur just before the North Korean summit?"
246,,03e1f088f651616db32d,1.0,"Why do girls ignore good guys, fall for bad guys and complain when they get hurt?"
247,,03e2bca11ba683851ebf,3.0,What would you do if Trump sexually harassed your favorite pet during a private meeting with you and the pet in the Oval Office?
248,,03e2c1dbd1d389278ac6,1.0,Are Christians inherently less intelligent than atheists?
249,,03e2ea69279258a31e9d,3.0,"Why is there “Gay pride” but no ""Down syndrome pride"" or ""OCD pride""?"
250,,03e4d0e6dcf239cb01f1,3.0,"What does it feel like for Donald Trump knowing that he will never be respected, admired, or loved as Obama?"
