Qid,Questions
061d928f7cf3e780c586,"Why is it so hard for the Japanese people to admit that crime, prostitution and inequality is the worst of all the G7 countries? Nobody is fooled by them anyway."
061e05d2cba101b4da1f,Is Richard Dawkins considered a saint or a prophet for atheists?
061e66fd58243819a614,Why are narcissists such assholes?
061e83d37f1e2df30f11,Why can’t women just accept a good old fashion pat on the behind as a compliment?
061f366edd90a4e5cb73,Who gives a rats ass if Bubba loves her or not they both would be in jail if they were normal Americans?
06205ee1db7e0d8d25b1,Why don't men talk about physical and mental abuse by women?
06218f1e48befd651dbd,All Indian Liberals on social media are followed and engaged only by Right leaning individuals. Do you think the liberals are promoting themselves by manipulating the conservatives?
0621d64071b52989bfde,Why do some pretty faces have so poor personalities? Is it that they don't have any incentive to groom themselves beyond their physical self?
06221a0d2d64e6e35bbe,What is the reason for everyone from German Nazi to Christians to Muslim to hate and target Jewish people? Are they not one of the finest and most intelligent people?
0623002f2f4fde219298,Why are Indian Doctors so arrogant and greedy?
0623adbcc7dcc9a279f6,Why do women dump men for a better option?
0623f7c5d729e06bee00,Are illegal Mexican immigrants becoming the neo-slaves of the United States of America?
06258572d8c69eebd0e3,"Germans are very intelligent, But why they are so rude most of the time?"
0625d533dd1cab47f4de,Why are black people ruining America?
062658a8f3108ab59d36,When will we take away payed maternity leave? They don't deserve it.
06268e3309b8f903c14e,Is it true that true that Trump is planning to have hundreds of thousands of chupacabras released on the north side of the Rio Grande to deter illegal immigration?
06269ce72931afb88c78,Why is a white guy's head mostly very small and shrunken on the top?
0626c6d55a20e3ce1bb1,Should more people be educated on the difference between a democracy and a constitutional republic?
0627047e3f67abaebc31,How can we educate Westerners using great Chinese philosophy?
0627acefd14a0fcd9bab,"In reality, evolutionists and scientists cannot even predict a correct weather forecast. Keeping this in mind, then are evolutionists being arrogant when they teach the theory of evolution as a fact?"
0628baa73021e059c0b4,How do I demand reservation for SC/STs in NASA?
06292a3dcbbdf0d29dbf,Why do westerns don’t care about their parents when they got older?
0629305a24a88471fb45,How many lives were saved because Santa Fe High School had armed security on campus who engaged the shooter instead of being cowards like the Florida police?
0629c98e16bd0767cd2b,"I have counted the top 20 countries with the most intelligent people and none is African, does it mean Africans are lazy to think?"
062a79dd9876dd3aeb09,Why are women liars?
062aca1b0148bd47fafe,Why does smoking meth with my? Adult niece make us have sex
062b7a29d2b9d084434c,"Being a Republican, how can I cope with having a high IQ in contrast to my coworkers?"
062c669c5ded03d0f05b,"Do liberals not see the hypocrisy when they claim to promote gender and race equality, but then discriminate against men and white people? Or do they simply not care?"
062cee28fcb4f8474a28,"What would happen to Canada as a country if, say Quebec, was to secede from the Dominion, or any other province? Low and behold would they join the USA if necessary?"
062e907b803cc79e00fe,Why do Indian boys who go abroad still marry Indian girls? Can't they find other superior girls to marry?
062fb4aa3c28dba361d3,How does female shame differ by demographic?
0632697288caa6277338,"Why do former British, now independent countries still have a close connection with the British, considering they ruled an evil empire?"
06326fedf183f8333b51,Why did Australians evolve to have three legs?
0633896ae7314df006a2,Why are Social Justice Warriors so hateful towards white people?
0634561dda57db6cea41,Is it okay for a person to have an abortion to sell the fetus on the black market?
0635752ea2b756d7b6a0,"How did the ""closet hick"" come to be in, predominantly, everywhere in the Midwest but Chicago, prior to and leading up to the filth that's robbed this country's office today?"
0636d365db76d62eb078,"Suppose that the Devil destroys the world, including Israel at a time when Israeli scientists have discovered the secret of planet making. Then a Jewish couple who were not Israelis sires the Messiah. Is a new planet fit for a new Israel & Jerusalem?"
06370abc5f17826bbde2,Why is it that Greece's governing party fails to understand the Estonian suffering under the Soviet occupation of almost 50 years? Was the suffering in Gulags and such real or not? Is there something else behind that stance?
0637a22c38cffe142892,"Did we here in the US receive all the""bad"" Christians?"
